record_id,model,concerns_living_things,organisms,organism_level,topic,about_organisms_themselves,ecological_purpose_stated,form,language,model_reason,input_tokens,output_tokens,thinking_tokens
oai:open.ottawa.ca:2ae02f413de14a48966385f52496cf36,gemini-3.5-flash-lite,False,,none,administrative,not_applicable,not_applicable,dataset,french,"The record provides waste and recyclable collection schedules, which are administrative data and do not concern living organisms.",817,111,
oai:borealisdata.ca:930_49,gemini-3.5-flash-lite,True,,none,habitat_or_ecosystem,not_applicable,not_applicable,dataset,english,"The record describes a multidisciplinary freshwater hydro-ecology project focusing on systems, hydrology, and ecosystem integrity.",1214,117,
oai:open.canada.ca:5ab982ca-176d-4906-99e8-a9a2c18ba12c,gemini-3.5-flash-lite,False,,none,land_and_boundaries,not_applicable,no,dataset,french,"The record provides cadastral data such as parcels, roads, and administrative zones without any ecological purpose stated or living organisms mentioned.",918,118,
oai:datadryad.org:doi:10.5061/dryad.98sf7m0k7,gemini-3.5-flash-lite,True,swallows; aerial insectivorous birds; Barn Swallow; Hirundo rustica; Cliff Swallow; Petrochelidon pyrrhonota; Tree Swallow; Tachycineta bicolor; insects,species,organisms,not_applicable,not_applicable,dataset,english,"The record contains research data and analysis concerning the diet and ecology of specific swallow species, making the topic organisms and the form a dataset.",1003,187,
oai:open.ottawa.ca:2b5139bebb0342948e7b2ce1cf4004de,gemini-3.5-flash-lite,False,,none,administrative,not_applicable,not_applicable,dataset,english,The record is about historical cultural mapping data for festivals and events and does not mention living organisms.,856,110,
oai:open.library.ubc.ca-cIRcle-collections-birs:oai:circle.library.ubc.ca:2429/76725,gemini-3.5-flash-lite,False,,none,physical_environment,not_applicable,not_applicable,report,english,The record is about mathematical equations for modeling fluid flows and physical hazards without any living subjects.,1151,111,
oai:open.library.ubc.ca-cIRcle-collections-birs:oai:circle.library.ubc.ca:2429/63564,gemini-3.5-flash-lite,True,,none,other,not_applicable,not_applicable,dataset,english,The record is about mathematical topology with no specific organisms or ecological topics mentioned.,740,106,
oai:gnb.socrata.com:djnb-9vvt,gemini-3.5-flash-lite,False,,none,administrative,not_applicable,not_applicable,dataset,english,"The record details financial payments and salaries for members of a legislative assembly, which is an administrative topic unrelated to living things.",949,115,
oai:donnees.montreal.ca:pistes-cyclables,gemini-3.5-flash-lite,False,,none,land_and_boundaries,not_applicable,no,dataset,french,The record is about bicycle infrastructure networks and transport in Montreal with no mention of living organisms.,798,111,
oai:borealisdata.ca:391508_200569,gemini-3.5-flash-lite,False,,none,land_and_boundaries,not_applicable,no,dataset,english,The record is a topographic map sheet depicting natural and man-made features without an ecological or conservation purpose stated.,1103,115,
oai:borealisdata.ca-dataverse-westernu:457860_201809_290067_392452,gemini-3.5-flash-lite,False,,none,administrative,not_applicable,not_applicable,dataset,english,The record provides census tract boundaries for mapping social science data without mentioning living organisms or ecological purposes.,953,110,
oai:datadryad.org:doi:10.5061/dryad.t7b1b05,gemini-3.5-flash-lite,True,Chytriodinium; copepods; dinoflagellate; Dissodinium,group,organisms,not_applicable,not_applicable,dataset,english,"The record is a dataset about the phylogeny, distribution, and biology of Chytriodinium parasites and their copepod hosts.",997,150,
oai:open.canada.ca:417ab00e-070f-4647-81f8-434048eab3cb,gemini-3.5-flash-lite,True,poissons; espèces; zostera marina,group,habitat_or_ecosystem,not_applicable,not_applicable,dataset,french,The record is about an estuarine biotic integrity monitoring program focused on aquatic ecosystems and fish communities in Kouchibouguac National Park.,1014,145,
oai:opendata-abbotsford.hub.arcgis.com:69bc933bb09f42da826686508c6d191d,gemini-3.5-flash-lite,False,,none,administrative,not_applicable,not_applicable,dataset,english,"The record is a spatial dataset displaying address locations in a city, which is an administrative topic unrelated to living things.",747,114,
oai:datadryad.org:doi:10.5061/dryad.t76hdr8gj,gemini-3.5-flash-lite,True,Asian giant honeybee; Apis dorsata; bees; hornets; bee-eaters,species,organisms,not_applicable,not_applicable,dataset,english,The record is a dataset about the defensive behavior and predator-prey dynamics of the Asian giant honeybee Apis dorsata.,1115,155,
oai:borealisdata.ca-dataverse-ualberta:230075_203206,gemini-3.5-flash-lite,True,Pusa hispida; polar bear; ringed seal,species,organisms,not_applicable,not_applicable,dataset,english,"The record is a dataset primarily about the spatial and temporal variability of specific organisms, ringed seals and polar bears, including biological and isotopic data.",1028,145,
oai:niagaraopendata.ca:city-of-welland-poll-boundaries,gemini-3.5-flash-lite,False,,none,administrative,not_applicable,not_applicable,dataset,english,The record is a spatial dataset containing administrative poll boundaries for the City of Welland with no mention of living things.,749,114,
oai:borealisdata.ca-dataverse-ubc:153019_150149,gemini-3.5-flash-lite,True,Escherichia coli,species,organisms,not_applicable,not_applicable,dataset,english,The record is a dataset containing experimental data on the evolution and diversification of bacterial populations of Escherichia coli.,981,121,
oai:datadryad.org:doi:10.5061/dryad.40sh435,gemini-3.5-flash-lite,True,lichens; fungi,group,organisms,not_applicable,not_applicable,dataset,english,The record is a dataset about the evolution and substrate specificity of lichens and fungi.,962,123,
