sampled_because,keyword_kept,title,subjects,abstract
kept_clear,True,Eulachon Migration Study Bottom Trawl Surveys,['nature_and_environment' 'science_and_technology'],"Données sur les prises, l'effort de pêche, l'emplacement (latitude et longitude) et données biologiques connexes tirées des relevés au chalut de fond pour l'étude sur la migration des eulakanes menés le long de la côte de la Colombie-Britannique. Introduction: Les relevés au chalut de fond pour l'étude sur la migration des eulakanes sont divisés en deux parties : le relevé au chalut de fond pour l'étude sur la migration des eulakanes – Sud (Eul -S) et le relevé au chalut de fond pour l'étude sur la migration des eulakanes – Nord (Eul-N). Ces relevés visaient à en apprendre davantage sur la rép"
kept_clear,True,Data from: Genetic relationships between Atlantic and Pacific populations of the notothenioid fish Eleginops maclovinus: the footprints of Quaternary glaciations in Patagonia,"['Postglaciation biogeography' 'notothenioids' 'Quaternary'
 'Eleginops maclovinus']","The genetic relationships between the Pacific and the Atlantic populations of marine costal biota in Southern South America have been analyzed in few studies, most of them relying on a single mitochondrial locus. We analyzed ten polymorphic microsatellite loci, isolated from a dinucleotide-enriched E. maclovinus genomic library, in a total of 240 individuals (48 from each of five sampled sites: two Atlantic, two Pacific and one in Beagle Channel). The results were contrasted against a previous work on the same species with mtDNA. Observed heterozygosity within localities ranged from 0.85 to 0."
kept_clear,True,Mercury biomagnification in marine zooplankton food webs in Hudson Bay,[],"Du zooplancton (Calanus sp., Limacina helacina, Euphasiacea, Clione limacina, Themisto sp., Paraeuchaeta sp., Hyperoche sp. et Sagitta sp.) a été collecté par filets en 2003 et 2004 (à bord du NGCC Pierre Radisson et Des Groseillers) et en 2005 et 2010 (à bord du NGCC Amundsen). Après le tri taxonomique, les échantillons ont été congelés pour analyse chimique. L'analyse du mercure total (ThG) a été réalisée à l'Institut des eaux douces de Winnipeg (MPO) par spectrométrie d'absorption atomique à vapeur froide ; le monométhylmercure (mmHg) a été analysé à l'Université d'Ottawa par chromatographi"
kept_clear,True,Consumption of red maple in anticipation of beech mast-seeding drives reproduction in Eastern chipmunks,['Acer rubrum' 'masting' 'Reproductive success' 'Fagus grandifolia'],"1. Understanding the determinants of reproduction is a central question in evolutionary ecology. In pulsed resources environments, the reproduction and population dynamics of seed consumers is driven by pulsed production of seeds by trees, or mast-seeding. In Southern Québec, eastern chipmunks (Tamias striatus) exclusively reproduce during the summer before and the spring after a mast-seeding event of American beech. They thus seem to anticipate beech mast by reproducing during early summer, so that juveniles can emerge at the time of maximum beechnut abundance during late summer. 2. However, "
kept_clear,True,Baynes Sound Oxygen Sensor Deployed 2024-12-11,['Ocean Networks Canada Society'],"Ce Sea-Bird SBE 63 Dissolved Oxygen Sensor 632518 a été déployé le 2024-12-11 au Baynes Sound. Baynes Sound est située entre Denman Island et l'Île de Vancouver. Cet instrument est un Capteur d'Oxygène. Les capteurs d'oxygène mesurent la concentration d'oxygène dissous dans l'eau de mer. Il a été deployé sur une plateforme fixe. Les données de ce déploiement sont archivées et accessibles sur l'infrastructure numérique Oceans 3.0 du Réseau Canadien des Océans (ONC), avec assurance de la qualité et produits dérivés selon les conventions établies."
kept_clear,True,Baynes Sound Conductivity Temperature Depth Deployed 2022-01-25,['Ocean Networks Canada Society'],"Ce Sea-Bird SeaCAT SBE19plus V2 5047 a été déployé le 2022-01-25 au Baynes Sound. Baynes Sound est située entre Denman Island et l'Île de Vancouver. Cet instrument est un Conductivité/Température/Profondeur. Conductivité Température Profondeur (CTD) est un nom abrégé pour un ensemble d'instruments qui contient des capteurs permettant de mesurer la conductivité, la température et la pression de l'eau de mer. La salinité, la vitesse du son, la profondeur et la densité sont des variables qui peuvent être dérivées des mesures par capteurs. Les CTD peuvent transporter d'autres instruments et capteu"
kept_clear,True,High heterogeneity in genomic differentiation between phenotypically divergent songbirds: A test of mitonuclear co-introgression,"['Genomic differentiation' 'Islands of differentiation'
 'genotyping-by- sequencing' 'mitonuclear discordance'
 'Mitonuclear coevolution' 'Emberizidae' 'sex chromosome']","Comparisons of genomic variation among closely related species often show more differentiation in mitochondrial DNA (mtDNA) and sex chromosomes than in autosomes, a pattern expected due to the differing effective population sizes and evolutionary dynamics of these genomic components. Yet, introgression can cause species pairs to deviate dramatically from general differentiation trends. The yellowhammer ( Emberiza citrinella ) and pine bunting ( E . leucocephalos ) are hybridizing avian sister species that differ greatly in appearance and moderately in nuclear DNA, but that show no mtDNA differ"
kept_clear,True,Biochar-based seed coating dramatically increases seedling germination and field establishment of arctic lupine (Lupinus arcticus),"['Earth and Environmental Sciences'
 'biochar, pyrogenic carbon, seed coatings, afforestation techniques, environmental adaptation, tree seed enhancement, direct seeding, succession acceleration, karr","Abstract: Positive effects of biochar on early plant performance suggest the potential use of biochar-based seed coatings in the context of restoration and reforestation programs. We present results of field and lab trials examining effects of biochar-based seed coatings on 8 common boreal shrub and tree species. The application of biochar coatings (using polyvinyl acetate as a binding agent) inhibited germination for 7 species (3 conifers and 4 shrubs species) but greatly enhanced seedling establishment of arctic lupine (Lupinus arcticus S. Watson), with a ~13-fold increase relative to contro"
kept_clear,True,"Coho Salmon (Oncorhynchus kisutch) Conservation Units, Sites & Status",['nature_and_environment' 'science_and_technology'],"Unités de conservation (UC) : Une UC s'entend d'un groupe de saumon sauvage suffisamment isolé des autres groupes pour que, s'il venait à disparaître, il soit très peu probable qu'il puisse se rétablir naturellement dans un délai acceptable, p. ex. la durée de vie d'un être humain ou un nombre précis de générations de saumon. Holtby et Ciruna (2007) ont fourni un cadre pour l'aggrégat des cinq espèces de saumon (genre Oncorhynchus) trouvées sur la côte canadienne du Pacifique dans les unités de conservation propres aux espèces en fonction de trois principales caractéristiques : écotypologie, c"
kept_clear,True,"How does vegetation fragmentation affect urban carbon stock in City of Vancouver, Canada","['Other' 'Earth and Environmental Sciences' 'carbon density'
 'Urban carbon stock' 'vegetation fragmentation' 'GIS analysis'
 'geographically weighted regression' 'FRAGSTATS']","Urban vegetation acts as an extremely important carbon stock to store carbon. Although many studies have investigated the relationship between urban vegetation and carbon stocks, few of them closely examine the phenomenon of vegetation fragmentation in urban areas and how it affects the carbon stock. Therefore, this project investigates how vegetation fragmentation affects carbon stocks in the City of Vancouver using GIS analytic tools. To do so, ArcGIS Pro was used to modify and analyze remotely sensed data of Vancouver. Land cover data were reclassified and clipped within the Vancouver disse"
